(0.00, 4.89, -5.27)
(-1.14, 4.89, 5.15)
(3.56, 4.89, -3.89)
(-5.02, 4.89, 1.62)
(5.16, 4.89, 1.09)
(-3.95, 4.89, -3.49)
(1.70, 4.89, 4.99)
(1.00, 4.89, -5.18)
(-3.44, 4.89, 3.99)
(4.97, 4.89, -1.77)
(-5.24, 4.89, 0.55)
(4.82, 4.89, 2.12)
(-3.14, 4.89, -4.24)
(0.62, 4.89, 5.24)
(2.05, 4.89, -4.86)
(-4.19, 4.89, 3.19)
(5.23, 4.89, -0.70)
(-4.88, 4.89, -1.99)
(3.26, 4.89, 4.14)
(-0.77, 4.89, -5.22)
(-1.92, 4.89, 4.91)
(4.10, 4.89, -3.31)
(-5.20, 4.89, 0.84)
(4.93, 4.89, 1.86)
(-3.36, 4.89, -4.06)
(0.90, 4.89, 5.19)
(1.78, 4.89, -4.96)
(-4.02, 4.89, 3.41)
(5.18, 4.89, -0.98)
(-4.98, 4.89, -1.72)
(3.47, 4.89, 3.97)
(-1.04, 4.89, -5.17)
(-1.66, 4.89, 5.00)
(3.92, 4.89, -3.52)
(-5.15, 4.89, 1.11)
(5.02, 4.89, 1.60)
(-3.58, 4.89, -3.87)
(1.18, 4.89, 5.14)
(1.53, 4.89, -5.05)
(-3.81, 4.89, 3.64)
(5.12, 4.89, -1.25)
(-5.07, 4.89, -1.46)
(3.68, 4.89, 3.78)
(-1.32, 4.89, -5.10)
(-1.38, 4.89, 5.09)
(3.73, 4.89, -3.73)
(-5.06, 4.89, 1.47)
(5.12, 4.89, 1.24)
(-3.83, 4.89, -3.63)
(2.88, 4.89, 4.42)
